method,criterion,density_per_10000km2,median_nn_km,exact_class_accuracy,status
gmpe_raw,exact>=0.65,,,,not_reached
gmpe_raw,exact>=0.68,,,,not_reached
gmpe_raw,exact>=0.70,,,,not_reached
gmpe_raw,exact>=0.80,,,,not_reached
gmpe_raw,exact>=0.90,,,,not_reached
gmpe_calibrated,exact>=0.65,,,,not_reached
gmpe_calibrated,exact>=0.68,,,,not_reached
gmpe_calibrated,exact>=0.70,,,,not_reached
gmpe_calibrated,exact>=0.80,,,,not_reached
gmpe_calibrated,exact>=0.90,,,,not_reached
idw,exact>=0.65,6.643208051197418,12.987497637987932,0.6564153863159058,reached
idw,exact>=0.68,23.315309001848767,6.885194359260537,0.6903073286052009,reached
idw,exact>=0.70,57.67957091090264,4.3487995530631345,0.7028627525492431,reached
idw,exact>=0.80,,,,not_reached
idw,exact>=0.90,,,,not_reached
kriging,exact>=0.65,6.643208051197418,12.987497637987932,0.654154970834713,reached
kriging,exact>=0.68,23.315309001848767,6.885194359260537,0.6829971181556196,reached
kriging,exact>=0.70,57.67957091090264,4.3487995530631345,0.7036129032258065,reached
kriging,exact>=0.80,,,,not_reached
kriging,exact>=0.90,,,,not_reached
gmpe_kriging,exact>=0.65,6.643208051197418,12.987497637987932,0.6539766360273922,reached
gmpe_kriging,exact>=0.68,23.315309001848767,6.885194359260537,0.6806989674344718,reached
gmpe_kriging,exact>=0.70,57.67957091090264,4.3487995530631345,0.7034006539064097,reached
gmpe_kriging,exact>=0.80,,,,not_reached
gmpe_kriging,exact>=0.90,,,,not_reached
