method,complexity_quantile_bin,n_predictions,median_local_site_delta_std,mae,rmse,p90_abs_error,class_accuracy,class_mae
gmpe_calibrated,very_low,97954,0.11032870426141694,0.4249536021449405,0.5405667047065364,0.8800014227956651,0.5755048287971906,0.47032280458174247
gmpe_calibrated,low,97954,0.14786638617614087,0.41972130095466664,0.53361528609212,0.8765446668811743,0.5707474937215428,0.47151724278743085
gmpe_calibrated,middle,97954,0.17872461443493426,0.42797863274227205,0.5419920636511573,0.8942291233140218,0.5627947812238397,0.48480919615329643
gmpe_calibrated,high,97954,0.21531563624720532,0.42948930199148094,0.5423481892379843,0.892840472524713,0.5675419074259346,0.48158319211058254
gmpe_calibrated,very_high,97954,0.2860210788009565,0.3872110870283526,0.4945148523941279,0.8095954678565661,0.6043040610898993,0.42820099230250935
gmpe_kriging,very_low,97954,0.11032870426141694,0.3039875482674094,0.3984283300422486,0.6607556148647367,0.6722951589521612,0.3380872654511301
gmpe_kriging,low,97954,0.14786638617614087,0.2979766836904264,0.39453162722050633,0.645399393896676,0.6754905363742165,0.3365048900504318
gmpe_kriging,middle,97954,0.17872461443493426,0.3198836962688008,0.41793039615215355,0.6944428295570076,0.6566551646691304,0.3562590603752782
gmpe_kriging,high,97954,0.21531563624720532,0.3137228671084699,0.4107119539016336,0.6713891550270606,0.655756783796476,0.35788227127018807
gmpe_kriging,very_high,97954,0.2860210788009565,0.27616161606533496,0.3615309647767115,0.5948987147306315,0.7019621454968659,0.3056332564264859
gmpe_raw,very_low,97954,0.11032870426141694,0.671026729564232,0.8108893095007986,1.3026469645941736,0.40300549237397143,0.6998284909243114
gmpe_raw,low,97954,0.14786638617614087,0.6439625284875873,0.7948690046144925,1.2825212638514971,0.42675133225799866,0.6731118688363926
gmpe_raw,middle,97954,0.17872461443493426,0.6383206671506209,0.7846269862482746,1.2670128711958017,0.4291708352900341,0.67610306878739
gmpe_raw,high,97954,0.21531563624720532,0.6657689176315684,0.8070190573676703,1.3076813856784948,0.41346958776568593,0.7089654327541499
gmpe_raw,very_high,97954,0.2860210788009565,0.6719486343824108,0.8224358721640138,1.3188160787152836,0.41793086550829983,0.6968270820997611
idw,very_low,97954,0.11032870426141694,0.29968602871914685,0.3911393701953723,0.6504417604956785,0.6766951834534577,0.3326357269738857
idw,low,97954,0.14786638617614087,0.2931911652968689,0.38774520566181253,0.6348047697837429,0.6777364885558528,0.3338812095473385
idw,middle,97954,0.17872461443493426,0.3116222042732357,0.40691389878719664,0.6730554758189768,0.6654960491659351,0.3463156175347612
idw,high,97954,0.21531563624720532,0.3069143762685333,0.40118373939070123,0.6555830665542228,0.6634746922024624,0.3495109949568165
idw,very_high,97954,0.2860210788009565,0.2729860770836202,0.355998534915852,0.5860961097322649,0.7038507871041509,0.3032852155093207
kriging,very_low,97954,0.11032870426141694,0.302941066717851,0.39699417449275964,0.6589560396824636,0.6727239316413827,0.3372297200726872
kriging,low,97954,0.14786638617614087,0.2980406157910671,0.3945386809217207,0.6457747885507023,0.6757151315923801,0.3364028013149029
kriging,middle,97954,0.17872461443493426,0.3190915166109492,0.41673981285566386,0.6915730461257005,0.6571656083467751,0.35563631908855176
kriging,high,97954,0.21531563624720532,0.3135129757930543,0.41056506705782086,0.6709422840620387,0.6561345121179329,0.35738203646609634
kriging,very_high,97954,0.2860210788009565,0.2769943393457543,0.36246052331753875,0.5960356763714934,0.7009718847622354,0.3070216632296792
