period,region,first_year,last_year,active_station_count_first_year,active_station_count_last_year,active_station_count_change,density_first_year_per_10000km2,density_last_year_per_10000km2,density_change_per_10000km2,median_nn_distance_first_year_km,median_nn_distance_last_year_km,mean_active_station_count,mean_density_per_10000km2,mean_median_nearest_neighbor_distance_km
1980-1995,Japan,1980,1995,302,478,176,7.87036,12.4571,4.5867,24.5329,16.9962,322.938,8.41601,23.5123
1980-1995,Hokkaido,1980,1995,34,62,28,4.07557,7.43191,3.35635,40.225,25.2638,37.5,4.49511,38.3685
1980-1995,Tohoku,1980,1995,60,82,22,8.96218,12.2483,3.28613,16.6645,13.0181,62.75,9.37295,16.2087
1980-1995,Kanto,1980,1995,33,48,15,10.178,14.8043,4.62635,21.4191,16.5945,35.5,10.949,20.5765
1980-1995,Chubu,1980,1995,65,91,26,8.95662,12.5393,3.58265,24.2287,14.9748,68.1875,9.39584,23.0728
1980-1995,Kinki,1980,1995,21,55,34,6.34211,16.6103,10.2682,21.3995,10.3616,23.6875,7.15375,20.5388
1980-1995,Chugoku,1980,1995,22,32,10,6.8918,10.0244,3.13264,20.0506,18.7821,23.25,7.28338,19.892
1980-1995,Shikoku,1980,1995,16,23,7,8.50883,12.2314,3.72261,31.657,23.0735,16.875,8.97415,30.584
1980-1995,Kyushu,1980,1995,42,67,25,9.9453,15.8651,5.91982,23.9252,19.5858,45.0625,10.6705,23.3678
1980-1995,Okinawa,1980,1995,9,18,9,39.4391,78.8782,39.4391,52.6748,5.53529,10.125,44.369,46.7824
1996-2003,Japan,1996,2003,754,3588,2834,19.6498,93.5062,73.8563,14.1224,4.60673,2482.62,64.6992,6.08123
1996-2003,Hokkaido,1996,2003,86,154,68,10.3088,18.4599,8.15113,19.897,9.36499,103.25,12.3765,17.2726
1996-2003,Tohoku,1996,2003,129,468,339,19.2687,69.905,50.6363,12.5245,5.55975,305.125,45.5764,7.01616
1996-2003,Kanto,1996,2003,90,606,516,27.7581,186.904,159.146,13.5194,3.54358,420.875,129.808,4.94447
1996-2003,Chubu,1996,2003,151,821,670,20.8069,113.129,92.3221,13.3029,4.47789,591,81.4364,5.81139
1996-2003,Kinki,1996,2003,84,362,278,25.3684,109.326,83.9575,9.73808,3.7065,292.25,88.2611,4.4981
1996-2003,Chugoku,1996,2003,52,373,321,16.2897,116.847,100.558,16.6589,5.55975,287.625,90.1024,7.06436
1996-2003,Shikoku,1996,2003,39,210,171,20.7403,111.678,90.9381,14.9675,4.59427,139.125,73.9869,7.51387
1996-2003,Kyushu,1996,2003,104,532,428,24.6265,125.974,101.347,16.4356,4.83294,317.625,75.2113,8.40148
1996-2003,Okinawa,1996,2003,19,62,43,83.2603,271.691,188.431,6.99765,2.49188,25.75,112.84,8.1344
2004-2010,Japan,2004,2010,3911,4378,467,101.924,114.094,12.1704,4.00205,3.7065,4233,110.315,3.79098
2004-2010,Hokkaido,2004,2010,154,329,175,18.4599,39.4371,20.9772,9.50272,7.54051,279.143,33.4607,8.08737
2004-2010,Tohoku,2004,2010,491,567,76,73.3405,84.6926,11.3521,5.55975,4.33394,546.714,81.6625,4.5496
2004-2010,Kanto,2004,2010,619,699,80,190.914,215.588,24.6738,3.53718,3.00936,676.857,208.758,3.15574
2004-2010,Chubu,2004,2010,916,943,27,126.219,129.94,3.72044,3.7065,3.56893,935.429,128.897,3.602
2004-2010,Kinki,2004,2010,429,419,-10,129.56,126.54,-3.02005,3.5489,3.55684,425.857,128.611,3.546
2004-2010,Chugoku,2004,2010,415,416,1,130.004,130.318,0.313264,4.79052,4.79228,415.286,130.094,4.79192
2004-2010,Shikoku,2004,2010,260,261,1,138.268,138.8,0.531802,3.7065,3.7065,261.571,139.104,3.7065
2004-2010,Kyushu,2004,2010,565,668,103,133.788,158.178,24.3897,4.64955,4.0168,624.286,147.826,4.15324
2004-2010,Okinawa,2004,2010,62,76,14,271.691,333.041,61.3497,2.49188,3.7065,67.8571,297.358,3.18595
2011-2022,Japan,2011,2022,4468,4523,55,116.44,117.873,1.43334,3.7065,3.7065,4521,117.821,3.7065
2011-2022,Hokkaido,2011,2022,340,348,8,40.7557,41.7146,0.958957,7.41301,6.90975,346.833,41.5748,6.96754
2011-2022,Tohoku,2011,2022,567,575,8,84.6926,85.8876,1.19496,4.34203,4.34203,577.417,86.2485,4.21223
2011-2022,Kanto,2011,2022,708,730,22,218.364,225.149,6.78531,3.00842,2.99164,725.667,223.812,2.99507
2011-2022,Chubu,2011,2022,947,968,21,130.491,133.385,2.89368,3.57311,3.63981,960.083,132.294,3.56499
2011-2022,Kinki,2011,2022,470,461,-9,141.942,139.224,-2.71805,3.0534,3.05463,470.167,141.993,3.05723
2011-2022,Chugoku,2011,2022,409,412,3,128.125,129.065,0.939791,4.79052,4.78876,409.833,128.386,4.79013
2011-2022,Shikoku,2011,2022,264,263,-1,140.396,139.864,-0.531802,3.7065,3.7065,264.25,140.529,3.7065
2011-2022,Kyushu,2011,2022,678,680,2,160.546,161.019,0.473586,4.01629,4.0168,680.917,161.236,3.93844
2011-2022,Okinawa,2011,2022,85,86,1,372.48,376.862,4.38212,3.7065,3.5161,85.8333,376.132,3.59714
