validation_subset,method,n,n_events,mae,rmse,exact_class_accuracy,underprediction_rate,exact_class_accuracy_ci95_low,exact_class_accuracy_ci95_high
I < 5-,idw,30644,33,0.26681453534723343,0.3515321779666731,0.7350868032893878,0.14795718574598615,0.7226980960886277,0.7463749088964439
I < 5-,kriging,30644,33,0.2716322569086188,0.35931727464904595,0.7291476308575904,0.15363529565330897,0.7161117798949711,0.7398373561423819
I < 5-,gmpe_kriging,30644,33,0.27166361724223587,0.35941984751574974,0.7291149980420311,0.1537984597311056,0.7160109055916463,0.7398974047143803
I >= 5-,idw,1666,33,0.3113632930358319,0.41695438662319406,0.460984393757503,0.4417767106842737,0.4043463279845529,0.5031198851174246
I >= 5-,kriging,1666,33,0.3093802528325333,0.41022720946633867,0.4531812725090036,0.43577430972388953,0.38912678889410485,0.4997584973929665
I >= 5-,gmpe_kriging,1666,33,0.3084892759655447,0.4094153792759316,0.4561824729891957,0.44057623049219685,0.39625853771698455,0.5006112342941611
I >= 6-,idw,316,28,0.37027199351773654,0.4811389406731846,0.3924050632911392,0.5632911392405063,0.2840808349451967,0.4417180120933928
I >= 6-,kriging,316,28,0.3604278879772045,0.4596774852068673,0.3829113924050633,0.5537974683544303,0.2617792262553147,0.4444486027944111
I >= 6-,gmpe_kriging,316,28,0.3671411092679685,0.46930482011661756,0.37341772151898733,0.569620253164557,0.24074074074074073,0.4358369032097845
