station_region,density_bin,n_predictions,median_density_per_10000km2,exact_class_accuracy,rmse
Chubu-Hokuriku,"[0.0, 5.0)",12326,3.124716461641313,0.6195846178809021,0.480238639395292
Chubu-Hokuriku,"[5.0, 10.0)",70931,6.671562068979298,0.648898225035598,0.4278488522049166
Chubu-Hokuriku,"[10.0, 20.0)",84255,13.88979949403978,0.6744050798172215,0.40789735544356787
Chubu-Hokuriku,"[20.0, 30.0)",32768,21.660798717051826,0.677703857421875,0.3954219314167518
Chubu-Hokuriku,"[30.0, 50.0)",46093,35.81259334638521,0.7000195257414358,0.379951033543795
Chubu-Hokuriku,"[50.0, 75.0)",10475,55.71003265503347,0.7108353221957041,0.36983060582074295
Hokkaido,"[0.0, 5.0)",7364,3.121153528549278,0.5562194459532862,0.6236593215371635
Hokkaido,"[5.0, 10.0)",12757,6.671562068979298,0.6118993493768128,0.47630238927472446
Hokkaido,"[10.0, 20.0)",12584,13.929417143679448,0.6358868404322949,0.45201100586825427
Hokkaido,"[20.0, 30.0)",4774,23.315309001848767,0.6464180980310013,0.44424285342388786
Hokkaido,"[30.0, 50.0)",4710,34.83609188365239,0.6560509554140127,0.42231489926627813
Hokkaido,"[50.0, 75.0)",749,57.92472829076412,0.7009345794392523,0.39784680811576173
Kanto,"[0.0, 5.0)",15250,3.877814311491497,0.6756065573770492,0.41223451106125325
Kanto,"[5.0, 10.0)",70889,6.798974240060537,0.7112528036789911,0.3471257447248195
Kanto,"[10.0, 20.0)",80195,13.887296827416629,0.7287237358937589,0.3308107228217885
Kanto,"[20.0, 30.0)",35932,21.660798717051826,0.7328565067349437,0.32735228671537947
Kanto,"[30.0, 50.0)",42646,35.81259334638521,0.741781175256765,0.3142438306422493
Kanto,"[50.0, 75.0)",9580,55.71003265503347,0.7554279749478079,0.3148216728453486
Kinki-Chugoku-Shikoku,"[0.0, 5.0)",1980,4.407242369673219,0.5338383838383839,0.6266577790325758
Kinki-Chugoku-Shikoku,"[5.0, 10.0)",38803,6.508152805043624,0.640182460119063,0.43836225981223365
Kinki-Chugoku-Shikoku,"[10.0, 20.0)",56393,13.92577508278588,0.6560388700725267,0.4231353531845809
Kinki-Chugoku-Shikoku,"[20.0, 30.0)",12721,21.833962587798492,0.6942850404842387,0.3854511817021963
Kinki-Chugoku-Shikoku,"[30.0, 50.0)",29078,34.83609188365239,0.6894903363367494,0.39789961688983966
Kinki-Chugoku-Shikoku,"[50.0, 75.0)",4351,58.37993305080299,0.7078832452309813,0.3692466057551952
Kyushu,"[0.0, 5.0)",4025,4.407242369673219,0.5652173913043478,0.5701442910623025
Kyushu,"[5.0, 10.0)",23774,6.28722028465788,0.622360561958442,0.4746435190250477
Kyushu,"[10.0, 20.0)",35430,13.275473967186404,0.6343211967259385,0.4567343881644383
Kyushu,"[20.0, 30.0)",8397,27.977503660790152,0.6442777182327022,0.445201033308325
Kyushu,"[30.0, 50.0)",15537,34.77575499840141,0.6498680568964408,0.43844428263512214
Kyushu,"[50.0, 75.0)",2318,56.33009525308344,0.6596203623813632,0.4207789449711859
Tohoku,"[0.0, 5.0)",15315,3.121153528549278,0.6082272282076395,0.5058657144025951
Tohoku,"[5.0, 10.0)",49926,6.671562068979298,0.62242118335136,0.4506389627489778
Tohoku,"[10.0, 20.0)",53948,13.71176690985086,0.6394490991324979,0.4231506023279636
Tohoku,"[20.0, 30.0)",21313,21.677384008130197,0.653122507389856,0.40843669739167215
Tohoku,"[30.0, 50.0)",25356,34.83609188365239,0.6534548035967819,0.3930757117772843
Tohoku,"[50.0, 75.0)",4837,55.71003265503347,0.6785197436427538,0.3891140254808713
