year,min_magnitude,n_events,mean_nearest_station_distance_km,median_nearest_station_distance_km,q25_nearest_station_distance_km,q75_nearest_station_distance_km,share_nearest_station_within_10km,share_nearest_station_within_20km,share_nearest_station_within_50km,mean_event_max_intensity,mean_valid_station_records
1980,4,9,45.3623,57.154,29.9775,59.3979,0,0.111111,0.444444,2.11111,4.88889
1982,4,16,51.86,50.645,32.5527,67.007,0,0.125,0.5,2.0625,3.25
1983,4,15,63.5988,56.9058,45.352,76.8703,0,0,0.466667,2.6,7
1984,4,46,54.9089,43.796,24.5517,85.9,0,0.217391,0.543478,2.47826,8.28261
1985,4,82,48.4178,30.9164,17.4953,63.0132,0.121951,0.280488,0.621951,2.15854,7.81707
1986,4,70,56.2213,48.6568,24.3582,78.2835,0.0714286,0.171429,0.5,1.92857,4.47143
1987,4,64,50.182,51.2599,26.0682,61.1895,0.09375,0.171875,0.484375,2.375,7.07812
1988,4,66,55.8319,57.4169,29.0162,78.1357,0.0757576,0.151515,0.454545,2.09091,5.69697
1989,4,70,59.3008,53.0461,31.5191,79.4919,0.0285714,0.0714286,0.442857,2.31429,5.98571
1990,4,99,49.6908,30.8265,19.4101,76.3406,0.0808081,0.272727,0.636364,2.06061,4.93939
1991,4,66,50.5307,52.5442,23.0964,76.8797,0.151515,0.242424,0.469697,2.36364,5.56061
1992,4,80,55.0359,53.6505,27.7323,78.0211,0.1375,0.1875,0.4375,2.2125,5.225
1993,4,63,53.7058,46.3286,26.0826,78.8532,0.015873,0.142857,0.507937,2.31746,6.26984
1994,4,69,55.085,39.6293,26.9807,61.9057,0.0434783,0.115942,0.565217,2.26087,7.07246
1995,4,76,17.1415,13.8842,5.91295,21.8508,0.381579,0.697368,0.986842,2.65789,10.5395
1996,4,32,19.6507,23.6593,12.7751,26.0316,0.25,0.40625,1,2.96875,13.7812
1997,4,40,17.7104,11.73,8.69035,17.6436,0.45,0.775,0.975,3.2375,28.7
1998,4,42,14.3533,9.73158,5.19437,18.5018,0.5,0.785714,0.97619,2.83333,35.9048
1999,4,24,9.55563,8.88174,4.1633,12.9784,0.666667,0.875,1,3.29167,104.042
2000,4,73,19.1442,6.45258,4.28238,10.6754,0.726027,0.958904,0.972603,3.58219,92.863
2001,4,37,7.83996,5.07341,3.72678,9.36721,0.756757,0.918919,1,3.08108,115.108
2002,4,24,8.21169,5.21577,3.44117,11.2728,0.666667,0.958333,1,2.95833,98.1667
2003,4,42,7.02119,4.45093,3.28815,7.18216,0.761905,0.952381,1,3.58333,124.214
2004,4,121,7.07968,6.35052,4.44252,8.55081,0.834711,0.983471,0.991736,3.77273,167.149
2005,4,33,7.10254,6.25528,4.24734,8.48719,0.848485,1,1,3.25758,127.545
2006,4,15,7.75872,6.96237,3.95962,8.72307,0.8,0.933333,1,3.13333,136.2
2007,4,42,7.45783,4.63414,3.15987,6.93544,0.857143,0.97619,0.97619,3.40476,141.69
2008,4,101,10.9438,11.5706,8.15574,14.0735,0.346535,0.990099,1,2.88614,100.277
2009,4,25,6.47449,4.99342,2.74209,8.27092,0.76,0.96,1,3.4,130.96
2010,4,19,9.70491,11.2265,5.21724,12.9312,0.421053,1,1,3.26316,138.368
2011,4,300,9.54945,9.35402,5.2732,12.3046,0.6,0.983333,0.99,3.25667,207.41
2012,4,38,8.23389,7.21874,5.31136,11.591,0.657895,1,1,3.40789,176.158
2013,4,35,13.4756,7.93826,4.70568,10.7979,0.628571,0.971429,0.971429,3.31429,227.943
2014,4,25,7.6926,8.41275,3.57571,10.6455,0.72,0.96,1,3.6,209.72
2015,4,17,7.98101,4.96649,3.23933,7.38372,0.823529,0.941176,0.941176,3.26471,109.294
2016,4,153,3.73676,3.02633,1.92504,4.4405,0.973856,1,1,3.99673,261.686
2017,4,29,24.8288,8.31862,4.48105,10.474,0.62069,0.862069,0.862069,3.17241,252.414
2018,4,44,6.85573,5.17158,2.14883,8.65817,0.886364,0.977273,0.977273,3.38636,200.023
2019,4,17,8.09752,8.12411,5.04677,9.82819,0.764706,1,1,3.58824,220.235
2020,4,37,9.24803,10.2374,6.72395,11.4997,0.432432,1,1,3.09459,107.703
2021,4,43,7.278,5.43981,3.62644,10.5237,0.72093,0.976744,1,3.27907,150.209
2022,4,40,7.09284,6.66228,3.90049,8.25963,0.875,0.975,1,3.45,116.225
